
2025/02/24 (19:05:26) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/24 (19:05:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/25 (12:25:32) | ===> btop++ v.1.4.0
2025/02/25 (12:25:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/25 (12:25:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/25 (12:25:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/25 (12:25:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/25 (16:57:46) | ===> btop++ v.1.4.0
2025/02/25 (16:57:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/25 (16:57:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/25 (16:57:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/25 (16:57:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/26 (12:57:13) | ===> btop++ v.1.4.0
2025/02/26 (12:57:13) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/26 (12:57:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/26 (12:57:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/26 (12:57:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/27 (21:18:23) | ===> btop++ v.1.4.0
2025/02/27 (21:18:23) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/27 (21:18:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/27 (21:18:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/27 (21:18:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/28 (10:55:30) | ===> btop++ v.1.4.0
2025/02/28 (10:55:30) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/28 (10:55:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/28 (10:55:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/28 (10:55:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/01 (17:38:07) | ===> btop++ v.1.4.0
2025/03/01 (17:38:07) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/01 (17:38:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/01 (17:38:07) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/01 (17:38:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/02 (21:29:31) | ===> btop++ v.1.4.0
2025/03/02 (21:29:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/02 (21:29:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/02 (21:29:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/02 (21:29:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/04 (17:49:11) | ===> btop++ v.1.4.0
2025/03/04 (17:49:11) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/04 (17:49:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/04 (17:49:11) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/04 (17:49:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/05 (18:05:24) | ===> btop++ v.1.4.0
2025/03/05 (18:05:24) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/05 (18:05:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/05 (18:05:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/05 (18:05:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/07 (14:28:49) | ===> btop++ v.1.4.0
2025/03/07 (14:28:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/07 (14:28:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/07 (14:28:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/07 (14:28:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/07 (14:31:39) | ===> btop++ v.1.4.0
2025/03/07 (14:31:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/07 (14:31:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/07 (14:31:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/07 (14:31:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/07 (21:29:10) | ===> btop++ v.1.4.0
2025/03/07 (21:29:10) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/07 (21:29:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/07 (21:29:10) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/07 (21:29:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/07 (21:53:45) | ===> btop++ v.1.4.0
2025/03/07 (21:53:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/07 (21:53:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/07 (21:53:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/07 (21:53:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/07 (22:00:52) | ===> btop++ v.1.4.0
2025/03/07 (22:00:52) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/07 (22:00:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/07 (22:00:52) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/07 (22:00:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/07 (22:05:01) | ===> btop++ v.1.4.0
2025/03/07 (22:05:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/07 (22:05:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/07 (22:05:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/07 (22:05:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/07 (22:12:55) | ===> btop++ v.1.4.0
2025/03/07 (22:12:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/07 (22:12:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/07 (22:12:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/07 (22:12:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/09 (18:38:09) | ===> btop++ v.1.4.0
2025/03/09 (18:38:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/09 (18:38:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/09 (18:38:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/09 (18:38:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/10 (19:18:50) | ===> btop++ v.1.4.0
2025/03/10 (19:18:50) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/10 (19:18:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/10 (19:18:50) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/10 (19:18:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/11 (12:44:41) | ===> btop++ v.1.4.0
2025/03/11 (12:44:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/11 (12:44:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/11 (12:44:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/11 (12:44:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/12 (12:46:41) | ===> btop++ v.1.4.0
2025/03/12 (12:46:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/12 (12:46:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/12 (12:46:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/12 (12:46:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/12 (12:52:24) | ===> btop++ v.1.4.0
2025/03/12 (12:52:24) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/12 (12:52:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/12 (12:52:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
